completion_pct,total_duration_days,elapsed_days,days_remaining,daily_velocity,log_frequency,labor_count,budget_ratio,total_logs,category,weather_factor,delay_days,actual_total_days,is_delayed
75.19,237,183,54,0.4109,0.112,177,0.766,20,water,0.85,3,240,0
22.49,799,270,529,0.0833,0.45,140,0.415,121,healthcare,0.93,75,874,1
43.38,235,153,82,0.2835,0.948,83,0.546,145,water,0.63,57,292,1
21.24,385,160,225,0.1327,0.433,66,0.385,69,road,0.63,51,436,1
32.1,593,169,424,0.19,0.193,128,0.216,32,road,0.63,0,593,0
37.61,255,117,138,0.3214,0.113,62,0.534,13,water,0.72,9,264,0
38.47,271,72,199,0.5343,0.332,161,0.211,23,road,0.96,14,285,0
68.72,849,475,374,0.1447,0.745,80,0.552,353,healthcare,0.76,0,849,0
97.6,183,153,30,0.6379,0.169,143,0.681,25,electricity,1.02,11,194,0
57.86,682,529,153,0.1094,0.673,42,0.792,356,healthcare,1.05,38,720,1
81.74,1049,841,208,0.0972,0.696,139,0.689,585,housing,1.09,0,1049,0
100.0,398,372,26,0.2688,0.128,165,0.898,47,water,0.76,8,406,0
60.3,1257,1065,192,0.0566,0.486,182,0.992,517,housing,0.72,77,1334,1
39.96,193,128,65,0.3122,0.619,12,0.566,79,electricity,0.64,29,222,1
48.98,259,97,162,0.5049,0.614,113,0.37,59,water,0.78,3,262,0
69.3,276,226,50,0.3066,0.658,187,0.988,148,electricity,0.94,61,337,1
70.3,214,128,86,0.5493,0.76,65,0.649,97,electricity,1.01,2,216,0
33.68,719,394,325,0.0855,0.545,55,0.53,214,road,1.12,57,776,1
19.82,1402,203,1199,0.0977,0.251,124,0.184,50,housing,0.9,11,1413,0
60.93,690,640,50,0.0952,0.261,75,0.983,167,education,1.02,86,776,1
52.59,272,246,26,0.2138,0.649,182,1.058,159,education,1.02,137,409,1
82.32,896,821,75,0.1003,0.349,70,0.957,286,housing,1.15,67,963,1
71.27,543,328,215,0.2173,0.176,33,0.577,57,water,0.96,0,543,0
62.73,328,223,105,0.2813,0.213,92,0.838,47,electricity,0.72,2,330,0
86.91,402,372,30,0.2336,0.702,123,0.869,261,education,1.14,35,437,1
19.38,1459,407,1052,0.0476,0.948,24,0.205,385,housing,0.64,36,1495,1
60.38,506,474,32,0.1274,0.309,196,0.825,146,water,0.68,61,567,1
35.43,599,403,196,0.0879,0.908,105,0.54,366,education,1.07,30,629,1
36.17,395,141,254,0.2565,0.23,14,0.358,32,housing,0.97,3,398,0
20.88,462,78,384,0.2677,0.427,110,0.148,33,water,0.71,0,462,0
83.13,709,472,237,0.1761,0.606,67,0.518,286,education,1.06,8,717,0
26.05,337,89,248,0.2926,0.692,176,0.296,61,water,0.67,17,354,1
68.18,803,557,246,0.1224,0.258,113,0.882,143,healthcare,0.94,0,803,0
60.57,367,189,178,0.3205,0.351,29,0.591,66,education,0.68,0,367,0
26.42,172,57,115,0.4635,0.619,154,0.358,35,water,0.94,4,176,0
22.05,1270,523,747,0.0422,0.616,181,0.469,322,housing,0.8,106,1376,1
35.03,466,133,333,0.2634,0.64,17,0.307,85,education,0.63,0,466,0
15.84,324,96,228,0.165,0.929,156,0.295,89,water,0.62,40,364,1
84.95,653,501,152,0.1696,0.239,160,0.888,119,road,0.89,19,672,1
43.67,185,77,108,0.5671,0.127,86,0.337,9,electricity,0.72,1,186,0
77.61,262,228,34,0.3404,0.131,57,0.638,29,water,0.93,46,308,1
94.13,1389,1078,311,0.0873,0.2,144,0.881,216,housing,0.96,0,1389,0
86.35,369,255,114,0.3386,0.871,164,0.715,222,road,1.1,8,377,0
8.6,706,110,596,0.0782,0.411,181,0.131,45,housing,0.62,85,791,1
51.85,452,296,156,0.1752,0.952,32,0.792,281,road,1.13,60,512,1
54.04,541,183,358,0.2953,0.406,87,0.301,74,healthcare,0.65,14,555,0
91.22,389,366,23,0.2492,0.247,159,0.712,90,road,0.96,18,407,1
46.96,1113,533,580,0.0881,0.696,156,0.471,370,housing,1.05,4,1117,0
100.0,331,263,68,0.3802,0.291,117,0.56,76,road,1.0,0,331,0
63.27,504,439,65,0.1441,0.496,187,0.667,217,healthcare,1.04,127,631,1
15.83,205,41,164,0.3861,0.223,147,0.256,9,electricity,1.04,7,212,0
74.53,249,215,34,0.3466,0.623,51,0.615,134,education,0.66,86,335,1
82.26,421,242,179,0.3399,0.619,196,0.44,149,road,0.88,0,421,0
44.34,416,248,168,0.1788,0.693,108,0.43,171,road,0.92,20,436,1
47.74,1081,629,452,0.0759,0.481,193,0.494,302,healthcare,1.08,11,1092,0
22.41,1060,419,641,0.0535,0.99,187,0.329,415,healthcare,0.94,28,1088,1
100.0,1058,913,145,0.1095,0.416,26,0.851,379,healthcare,0.82,0,1058,0
21.82,1017,174,843,0.1254,0.609,82,0.215,105,healthcare,0.71,2,1019,0
33.98,358,175,183,0.1941,0.711,167,0.348,124,electricity,0.65,43,401,1
76.61,390,349,41,0.2195,0.935,150,0.806,326,healthcare,1.11,39,429,1
61.99,494,264,230,0.2348,0.419,167,0.399,110,water,0.93,11,505,0
100.0,234,202,32,0.495,0.472,103,0.789,95,electricity,1.01,0,234,0
31.99,1172,273,899,0.1172,0.298,194,0.185,81,housing,0.91,0,1172,0
67.28,338,309,29,0.2177,0.518,12,0.668,160,road,0.83,62,400,1
17.52,637,234,403,0.0749,0.232,102,0.439,54,road,1.1,70,707,1
31.03,858,164,694,0.1892,0.86,10,0.163,141,healthcare,0.89,0,858,0
21.02,125,47,78,0.4472,0.742,71,0.451,34,water,1.02,43,168,1
86.87,595,398,197,0.2183,0.509,116,0.718,202,education,1.07,5,600,0
16.34,495,129,366,0.1267,0.66,77,0.212,85,education,0.73,33,528,1
12.72,645,152,493,0.0837,0.817,116,0.228,124,housing,1.03,70,715,1
41.02,739,579,160,0.0708,0.121,14,0.659,70,housing,1.1,142,881,1
21.52,627,211,416,0.102,0.146,125,0.322,30,education,0.62,53,680,1
13.02,847,105,742,0.124,0.61,80,0.114,64,healthcare,0.6,0,847,0
72.93,647,376,271,0.194,0.484,67,0.424,181,healthcare,1.1,0,647,0
20.55,242,70,172,0.2936,0.359,97,0.313,25,education,0.77,29,271,1
44.38,269,139,130,0.3193,0.724,199,0.514,100,electricity,0.93,2,271,0
58.08,153,53,100,1.0958,0.468,67,0.323,24,electricity,1.01,3,156,0
54.48,119,51,68,1.0682,0.906,104,0.533,46,electricity,0.78,0,119,0
38.28,729,221,508,0.1732,0.141,136,0.232,31,road,0.99,9,738,0
56.14,457,306,151,0.1835,0.987,193,0.726,301,road,1.06,35,492,1
82.09,494,309,185,0.2657,0.281,100,0.758,86,healthcare,1.16,9,503,0
65.43,93,56,37,1.1684,0.901,144,0.444,50,electricity,1.2,0,93,0
39.64,1075,338,737,0.1173,0.359,112,0.232,121,healthcare,0.66,0,1075,0
48.77,355,244,111,0.1999,0.687,81,0.755,167,electricity,0.75,72,427,1
26.31,111,22,89,1.1959,0.519,16,0.183,11,electricity,0.61,0,111,0
52.58,218,138,80,0.381,0.825,159,0.688,113,education,0.84,53,271,1
13.59,245,59,186,0.2304,0.181,153,0.179,10,electricity,0.96,40,285,1
22.87,696,158,538,0.1447,0.951,177,0.253,150,healthcare,0.78,8,704,0
20.12,212,35,177,0.5748,0.699,144,0.151,24,electricity,0.93,0,212,0
52.52,1045,513,532,0.1024,0.802,91,0.559,411,housing,0.67,0,1045,0
66.27,424,299,125,0.2216,0.598,39,0.874,178,education,1.09,3,427,0
26.64,872,254,618,0.1049,0.187,133,0.259,47,healthcare,0.71,5,877,0
100.0,233,196,37,0.5102,0.386,62,0.831,75,road,0.89,3,236,0
78.83,445,268,177,0.2942,0.731,112,0.673,195,water,1.05,0,445,0
58.67,362,190,172,0.3088,0.377,192,0.609,71,water,0.9,4,366,0
29.46,132,35,97,0.8418,0.687,160,0.31,24,electricity,1.1,0,132,0
46.81,386,217,169,0.2157,0.345,42,0.571,74,road,0.84,37,423,1
100.0,399,344,55,0.2907,0.904,191,0.675,311,education,0.64,10,409,0
96.45,546,491,55,0.1964,0.151,57,0.801,74,water,1.06,0,546,0
60.99,624,272,352,0.2242,0.433,114,0.386,117,housing,0.93,0,624,0
57.02,546,215,331,0.2652,0.555,33,0.356,119,road,0.7,0,546,0
23.94,262,51,211,0.4694,0.653,183,0.139,33,electricity,0.97,0,262,0
41.13,669,482,187,0.0853,0.336,173,0.583,162,education,0.92,34,703,1
28.54,692,164,528,0.174,0.636,8,0.246,104,road,1.12,0,692,0
47.21,699,275,424,0.1717,0.234,31,0.416,64,road,0.7,0,699,0
85.59,105,60,45,1.4264,0.78,43,0.726,46,electricity,0.95,0,105,0
21.9,149,25,124,0.8761,0.276,22,0.149,6,water,1.01,4,153,0
40.04,963,362,601,0.1106,0.623,23,0.381,225,healthcare,1.16,4,967,0
21.43,212,48,164,0.4465,0.304,153,0.16,14,education,0.94,11,223,0
31.55,360,222,138,0.1421,0.498,170,0.513,110,electricity,0.63,109,469,1
44.39,498,298,200,0.149,0.296,97,0.444,88,water,1.16,46,544,1
77.26,264,119,145,0.6493,0.614,183,0.486,73,education,0.71,8,272,0
61.07,304,233,71,0.2621,0.498,126,0.576,115,electricity,0.7,30,334,1
29.79,148,63,85,0.4728,0.957,115,0.52,60,water,1.13,30,178,1
25.77,704,354,350,0.0728,0.89,20,0.523,315,healthcare,0.93,114,818,1
7.83,506,92,414,0.0851,0.572,173,0.228,52,education,0.87,49,555,1
73.45,1316,636,680,0.1155,0.991,168,0.443,629,housing,1.01,11,1327,0
15.56,204,45,159,0.3459,0.15,192,0.177,6,road,0.8,50,254,1
71.23,411,269,142,0.2648,0.189,72,0.528,50,education,1.17,15,426,1
21.32,793,238,555,0.0896,0.287,122,0.323,68,housing,0.95,17,810,1
70.39,233,147,86,0.4788,0.848,30,0.776,124,water,0.73,9,242,0
62.24,619,482,137,0.1291,0.57,191,0.719,274,education,0.64,30,649,1
28.05,188,41,147,0.6842,0.657,84,0.242,26,electricity,0.94,1,189,0
45.54,623,588,35,0.0775,0.892,187,1.2,524,road,1.14,169,792,1
89.86,243,175,68,0.5135,0.245,150,0.754,42,education,0.88,1,244,0
20.16,645,102,543,0.1977,0.335,180,0.165,34,road,1.02,0,645,0
74.9,110,79,31,0.9481,0.155,105,0.904,12,electricity,1.02,0,110,0
32.97,901,334,567,0.0987,0.626,138,0.265,209,healthcare,1.16,1,902,0
21.6,404,71,333,0.3043,0.569,120,0.168,40,road,1.14,2,406,0
78.69,400,315,85,0.2498,0.33,20,0.692,104,education,0.8,0,400,0
49.47,910,428,482,0.1156,0.654,25,0.45,279,healthcare,0.65,0,910,0
58.23,207,91,116,0.6399,0.877,19,0.411,79,water,0.79,0,207,0
47.59,248,121,127,0.3933,0.834,150,0.603,100,road,0.61,0,248,0
56.06,187,120,67,0.4672,0.101,13,0.503,12,education,1.14,0,187,0
48.93,495,224,271,0.2185,0.979,64,0.375,219,water,0.99,1,496,0
57.07,295,123,172,0.464,0.218,24,0.391,26,electricity,1.0,0,295,0
31.73,211,124,87,0.2559,0.382,86,0.485,47,electricity,0.98,60,271,1
34.74,501,134,367,0.2592,0.776,109,0.248,104,water,1.14,0,501,0
100.0,831,639,192,0.1565,0.385,183,0.654,246,housing,1.09,0,831,0
100.0,96,79,17,1.2658,0.188,157,1.033,14,electricity,1.11,0,96,0
32.35,695,371,324,0.0872,0.875,32,0.631,324,housing,0.68,100,795,1
87.08,143,94,49,0.9263,0.638,141,0.857,59,electricity,0.65,0,143,0
75.83,1072,676,396,0.1122,0.864,5,0.622,584,housing,0.83,0,1072,0
88.08,302,244,58,0.361,0.515,191,0.862,125,education,1.1,0,302,0
89.9,551,492,59,0.1827,0.891,65,0.82,438,road,1.04,0,551,0
28.75,414,149,265,0.193,0.344,54,0.389,51,healthcare,0.75,11,425,0
24.84,667,289,378,0.086,0.978,120,0.446,282,education,0.82,47,714,1
51.1,528,286,242,0.1787,0.984,157,0.425,281,education,0.75,0,528,0
64.21,704,323,381,0.1988,0.868,39,0.568,280,housing,1.0,0,704,0
40.58,496,265,231,0.1531,0.861,138,0.475,228,healthcare,0.76,12,508,0
21.56,344,94,250,0.2294,0.889,170,0.312,83,road,1.03,2,346,0
29.44,395,142,253,0.2073,0.659,31,0.334,93,education,1.03,1,396,0
68.72,307,290,17,0.237,0.765,22,0.918,221,water,1.01,132,439,1
86.44,258,195,63,0.4433,0.515,34,0.884,100,education,1.19,3,261,0
100.0,834,638,196,0.1567,0.188,53,0.929,119,housing,1.02,0,834,0
48.75,377,145,232,0.3362,0.956,170,0.501,138,road,0.68,0,377,0
25.86,1315,381,934,0.0679,0.827,26,0.374,315,housing,1.04,3,1318,0
51.5,722,280,442,0.1839,0.671,188,0.3,187,education,0.67,4,726,0
40.07,410,306,104,0.1309,0.252,25,0.908,77,water,1.11,24,434,1
74.84,184,149,35,0.5023,0.899,21,0.966,134,water,0.72,21,205,1
78.3,816,604,212,0.1296,0.553,182,0.657,334,healthcare,1.08,7,823,0
47.61,519,344,175,0.1384,0.136,138,0.629,46,education,0.76,93,612,1
19.49,146,58,88,0.336,0.204,113,0.484,11,water,1.02,66,212,1
47.92,973,517,456,0.0927,0.273,39,0.573,141,healthcare,0.69,7,980,0
70.74,493,311,182,0.2275,0.606,139,0.753,188,road,1.0,1,494,0
75.47,590,404,186,0.1868,0.277,192,0.534,111,healthcare,0.74,9,599,0
47.18,211,86,125,0.5486,0.821,68,0.401,70,education,0.71,12,223,0
74.25,811,478,333,0.1553,0.317,29,0.628,151,housing,0.83,0,811,0
31.31,219,95,124,0.3296,0.2,141,0.396,19,electricity,0.94,47,266,1
26.59,1079,328,751,0.0811,0.25,149,0.249,81,healthcare,1.15,2,1081,0
61.46,193,143,50,0.4298,0.625,86,0.747,89,education,0.95,16,209,1
47.34,168,88,80,0.5379,0.5,178,0.67,44,electricity,0.89,2,170,0
32.34,637,225,412,0.1437,0.49,188,0.321,110,healthcare,1.11,2,639,0
100.0,475,427,48,0.2342,0.501,193,1.032,214,water,0.61,6,481,0
57.81,828,355,473,0.1628,0.774,152,0.349,274,housing,0.93,0,828,0
35.97,698,242,456,0.1486,0.456,184,0.355,110,healthcare,0.97,0,698,0
63.18,405,143,262,0.4419,0.211,130,0.343,30,water,0.72,6,411,0
23.47,543,72,471,0.3259,0.238,52,0.137,17,water,1.04,0,543,0
91.92,362,261,101,0.3522,0.564,166,0.911,147,road,0.9,3,365,0
17.93,397,76,321,0.2359,0.626,75,0.198,47,water,0.72,10,407,0
8.91,196,33,163,0.27,0.736,135,0.137,24,electricity,0.92,64,260,1
72.06,106,57,49,1.2642,0.872,125,0.56,49,electricity,1.0,5,111,0
91.1,1142,1017,125,0.0896,0.753,38,0.652,766,housing,0.67,3,1145,0
31.23,478,291,187,0.1073,0.909,110,0.688,264,water,0.95,34,512,1
47.98,200,142,58,0.3379,0.541,189,0.757,76,water,0.92,49,249,1
24.67,317,84,233,0.2937,0.447,12,0.312,37,electricity,0.9,4,321,0
59.65,600,236,364,0.2527,0.395,91,0.396,93,housing,1.04,0,600,0
42.45,449,396,53,0.1072,0.157,149,0.948,62,water,0.79,117,566,1
12.09,337,85,252,0.1423,0.196,22,0.188,16,electricity,1.1,39,376,1
57.39,289,232,57,0.2474,0.813,30,0.788,188,road,0.84,62,351,1
79.55,153,86,67,0.925,0.62,88,0.548,53,electricity,0.94,0,153,0
83.98,452,282,170,0.2978,0.973,181,0.799,274,housing,1.12,0,452,0
32.96,178,60,118,0.5494,0.253,27,0.294,15,electricity,0.66,0,178,0
89.18,894,783,111,0.1139,0.564,33,0.729,441,healthcare,0.66,2,896,0
23.48,505,57,448,0.412,0.455,6,0.08,25,water,1.11,0,505,0
13.88,135,17,118,0.8165,0.909,145,0.142,15,water,0.97,4,139,0
75.06,267,218,49,0.3443,0.266,103,0.721,57,electricity,1.05,32,299,1
100.0,205,185,20,0.5405,0.233,89,0.886,43,road,1.19,0,205,0
100.0,553,518,35,0.1931,0.131,163,0.668,67,housing,0.87,0,553,0
79.13,128,71,57,1.1145,0.209,186,0.598,14,water,1.19,0,128,0
52.18,147,60,87,0.8696,0.294,72,0.44,17,electricity,0.98,0,147,0
31.59,671,183,488,0.1726,0.746,99,0.296,136,housing,1.19,12,683,0
54.65,700,587,113,0.0931,0.688,167,0.861,403,road,0.76,91,791,1
58.16,344,164,180,0.3546,0.206,171,0.525,33,electricity,1.17,0,344,0
40.29,349,234,115,0.1722,0.47,136,0.754,109,road,0.9,20,369,1
63.48,1355,720,635,0.0882,0.552,52,0.506,397,housing,1.15,6,1361,0
55.81,116,56,60,0.9966,0.727,162,0.625,40,electricity,0.65,0,116,0
21.08,490,61,429,0.3456,0.844,48,0.104,51,education,0.93,0,490,0
67.3,401,332,69,0.2027,0.562,150,0.668,186,healthcare,1.03,100,501,1
11.93,126,13,113,0.9175,0.537,59,0.14,6,water,0.71,0,126,0
99.48,99,69,30,1.4417,0.171,89,0.815,11,electricity,0.63,9,108,0
23.46,1061,276,785,0.085,0.109,151,0.305,30,healthcare,1.06,5,1066,0
57.87,132,73,59,0.7927,0.918,14,0.558,67,electricity,1.07,6,138,0
14.87,1347,192,1155,0.0775,0.229,29,0.182,43,housing,0.95,0,1347,0
74.32,372,223,149,0.3333,0.496,44,0.475,110,education,0.91,0,372,0
100.0,273,251,22,0.3984,0.412,119,0.788,103,electricity,1.08,5,278,0
90.08,1067,660,407,0.1365,0.332,77,0.438,219,housing,0.87,10,1077,0
71.74,737,672,65,0.1068,0.252,43,0.861,169,healthcare,1.19,119,856,1
53.91,315,193,122,0.2793,0.701,150,0.462,135,water,0.68,9,324,0
38.25,458,195,263,0.1962,0.536,13,0.499,104,road,1.08,4,462,0
58.34,544,428,116,0.1363,0.267,51,0.62,114,road,0.71,66,610,1
73.19,1415,991,424,0.0739,0.881,181,0.73,873,housing,0.95,0,1415,0
50.88,872,426,446,0.1194,0.323,183,0.624,137,healthcare,0.81,0,872,0
17.26,329,107,222,0.1613,0.144,129,0.239,15,road,0.83,47,376,1
39.47,530,274,256,0.1441,0.801,144,0.522,219,education,0.91,49,579,1
17.5,375,166,209,0.1054,0.543,123,0.313,90,education,1.19,52,427,1
81.34,920,629,291,0.1293,0.958,7,0.534,602,healthcare,0.64,0,920,0
39.05,212,83,129,0.4704,0.292,92,0.334,24,water,0.85,1,213,0
33.53,1081,445,636,0.0753,0.423,172,0.465,188,healthcare,0.76,5,1086,0
51.83,230,93,137,0.5573,0.994,103,0.439,92,electricity,1.07,0,230,0
27.81,653,311,342,0.0894,0.502,71,0.419,156,road,1.04,77,730,1
48.85,270,157,113,0.3112,0.347,122,0.608,54,electricity,0.88,25,295,1
61.46,296,172,124,0.3573,0.124,166,0.565,21,road,0.87,4,300,0
29.83,345,110,235,0.2712,0.881,43,0.401,96,water,1.02,2,347,0
57.9,578,366,212,0.1582,0.62,117,0.761,226,healthcare,0.99,4,582,0
28.68,363,233,130,0.1231,0.489,142,0.552,113,electricity,1.2,48,411,1
50.04,527,271,256,0.1847,0.196,145,0.505,53,housing,0.99,1,528,0
67.79,217,103,114,0.6581,0.949,191,0.445,97,electricity,0.97,5,222,0
59.72,528,437,91,0.1367,0.337,43,1.077,147,road,0.77,117,645,1
3.14,621,101,520,0.0311,0.84,70,0.121,84,education,0.99,105,726,1
91.49,470,306,164,0.299,0.63,29,0.751,192,road,0.73,12,482,0
65.17,437,215,222,0.3031,0.38,163,0.536,81,education,0.92,0,437,0
67.96,582,395,187,0.172,0.213,30,0.605,84,housing,0.99,1,583,0
78.94,166,142,24,0.5559,0.882,59,0.854,125,water,1.04,38,204,1
100.0,722,586,136,0.1706,0.329,68,0.732,192,housing,0.98,0,722,0
9.32,337,47,290,0.1984,0.781,13,0.107,36,electricity,0.95,21,358,1
10.49,484,124,360,0.0846,0.212,155,0.241,26,water,0.92,30,514,1
24.33,737,278,459,0.0875,0.334,94,0.364,92,housing,1.1,64,801,1
26.75,131,36,95,0.7432,0.375,31,0.307,13,electricity,1.06,0,131,0
25.9,1029,195,834,0.1328,0.799,129,0.17,155,healthcare,0.64,10,1039,0
78.57,1169,610,559,0.1288,0.489,69,0.372,298,housing,0.62,6,1175,0
77.05,1324,688,636,0.112,0.929,197,0.369,639,housing,1.19,0,1324,0
16.37,422,125,297,0.1309,0.544,15,0.357,68,road,1.15,90,512,1
32.03,164,57,107,0.562,0.333,63,0.34,18,electricity,1.13,1,165,0
20.51,819,237,582,0.0865,0.709,121,0.367,168,healthcare,0.78,21,840,1
20.23,400,88,312,0.2299,0.507,132,0.212,44,housing,1.04,3,403,0
11.03,283,49,234,0.2252,0.429,182,0.135,21,water,0.74,25,308,1
5.63,222,25,197,0.2252,0.849,192,0.12,21,water,1.19,28,250,1
93.43,295,198,97,0.4719,0.219,103,0.563,43,water,1.13,0,295,0
71.68,408,324,84,0.2212,0.494,33,0.761,160,road,0.79,49,457,1
62.56,396,356,40,0.1757,0.888,165,0.886,316,healthcare,0.76,24,420,1
35.31,826,327,499,0.108,0.438,174,0.285,143,healthcare,0.98,1,827,0
42.69,350,104,246,0.4105,0.622,68,0.218,64,water,1.15,0,350,0
13.07,177,18,159,0.7262,0.924,101,0.136,16,water,0.9,0,177,0
28.84,508,109,399,0.2646,0.44,33,0.256,48,water,0.65,0,508,0
99.6,750,700,50,0.1423,0.149,48,0.731,104,healthcare,0.61,0,750,0
77.5,1173,773,400,0.1003,0.501,81,0.795,387,housing,1.03,7,1180,0
45.31,562,228,334,0.1987,0.131,59,0.358,29,road,0.98,0,562,0
84.03,287,222,65,0.3785,0.919,198,0.66,204,electricity,0.69,9,296,0
12.29,223,27,196,0.4551,0.555,129,0.111,14,water,0.7,0,223,0
100.0,294,242,52,0.4132,0.951,76,0.918,230,education,0.98,0,294,0
35.69,262,141,121,0.2531,0.832,101,0.454,117,road,0.95,32,294,1
81.36,195,123,72,0.6615,0.765,30,0.671,94,electricity,0.62,0,195,0
54.64,481,304,177,0.1797,0.497,43,0.636,151,healthcare,0.68,3,484,0
51.41,922,801,121,0.0642,0.296,78,0.651,237,housing,0.75,130,1052,1
77.12,1138,584,554,0.1321,0.216,146,0.527,126,housing,0.83,2,1140,0
50.84,573,436,137,0.1166,0.868,83,0.747,378,education,1.16,114,687,1
19.3,310,53,257,0.3641,0.969,151,0.131,51,road,0.7,9,319,0
29.52,228,78,150,0.3784,0.323,45,0.311,25,electricity,1.19,3,231,0
47.61,258,175,83,0.272,0.137,167,0.737,24,water,0.72,96,354,1
54.36,556,387,169,0.1405,0.811,33,0.555,313,healthcare,0.97,17,573,1
36.82,681,246,435,0.1497,0.204,91,0.283,50,road,1.11,0,681,0
14.07,475,80,395,0.1759,0.943,127,0.127,75,water,1.1,6,481,0
49.91,1090,1006,84,0.0496,0.681,163,0.965,684,housing,0.61,159,1249,1
43.76,522,166,356,0.2636,0.699,31,0.402,116,road,1.09,0,522,0
28.47,109,57,52,0.4995,0.789,29,0.525,44,electricity,0.89,33,142,1
28.41,692,170,522,0.1671,0.786,119,0.268,133,education,0.95,3,695,0
100.0,274,214,60,0.4673,0.219,108,0.902,46,electricity,0.93,4,278,0
19.08,135,23,112,0.8298,0.114,141,0.134,2,water,0.97,0,135,0
37.93,134,40,94,0.9482,0.447,28,0.353,17,water,0.85,0,134,0
32.28,149,51,98,0.6329,0.171,18,0.363,8,electricity,0.72,0,149,0
49.54,365,202,163,0.2452,0.405,81,0.657,81,education,0.63,5,370,0
100.0,196,172,24,0.5814,0.401,124,0.873,68,education,0.66,0,196,0
16.72,311,112,199,0.1493,0.361,20,0.443,40,electricity,0.65,48,359,1
29.47,267,101,166,0.2918,0.285,31,0.439,28,electricity,1.03,10,277,0
34.48,282,109,173,0.3163,0.147,49,0.444,16,road,1.11,1,283,0
71.09,1178,939,239,0.0757,0.311,21,0.807,291,housing,0.67,18,1196,1
15.67,389,145,244,0.1081,0.732,114,0.322,106,housing,1.0,122,511,1
37.31,301,202,99,0.1847,0.629,91,0.516,127,water,1.0,42,343,1
29.07,203,53,150,0.5484,0.469,88,0.202,24,electricity,1.16,11,214,0
100.0,683,637,46,0.157,0.251,143,1.093,160,road,0.91,23,706,1
60.48,574,340,234,0.1779,0.555,185,0.673,188,road,1.01,6,580,0
70.0,265,137,128,0.5109,0.9,54,0.591,123,road,0.64,0,265,0
51.15,280,182,98,0.281,0.561,85,0.784,102,road,0.92,49,329,1
15.25,131,35,96,0.4356,0.451,139,0.205,15,water,0.74,16,147,1
15.51,735,129,606,0.1202,0.679,92,0.197,87,housing,1.07,5,740,0
15.16,393,91,302,0.1666,0.101,160,0.248,9,road,1.14,44,437,1
100.0,1039,781,258,0.128,0.462,127,0.679,360,healthcare,0.63,0,1039,0
98.59,219,165,54,0.5975,0.609,34,0.766,100,water,0.61,0,219,0
31.08,542,223,319,0.1394,0.987,57,0.318,220,water,1.07,31,573,1
11.97,1032,106,926,0.113,0.686,87,0.112,72,housing,1.12,0,1032,0
45.96,147,77,70,0.5969,0.178,29,0.595,13,electricity,0.88,1,148,0
43.99,253,111,142,0.3963,0.853,32,0.483,94,road,0.73,0,253,0
46.85,1127,403,724,0.1163,0.159,6,0.45,64,housing,0.93,17,1144,1
60.28,335,137,198,0.44,0.606,131,0.49,83,electricity,1.06,0,335,0
71.88,362,169,193,0.4253,0.77,102,0.412,130,electricity,1.18,0,362,0
63.27,1306,934,372,0.0677,0.12,143,0.803,111,housing,0.98,17,1323,1
43.3,785,329,456,0.1316,0.535,21,0.518,176,housing,1.04,1,786,0
17.95,98,38,60,0.4724,0.737,14,0.434,28,electricity,0.82,27,125,1
85.59,1333,1210,123,0.0707,0.314,16,1.111,379,housing,1.19,34,1367,1
26.1,158,72,86,0.3624,0.358,122,0.447,25,water,0.75,73,231,1
21.07,1219,554,665,0.038,0.728,26,0.432,403,housing,0.76,122,1341,1
3.58,126,16,110,0.2237,0.158,81,0.146,2,water,0.88,49,175,1
51.63,182,57,125,0.9057,0.553,147,0.254,31,electricity,1.1,0,182,0
72.89,1223,668,555,0.1091,0.971,113,0.654,648,housing,1.13,7,1230,0
41.69,550,170,380,0.2452,0.993,170,0.311,168,education,0.76,0,550,0
94.07,231,170,61,0.5533,0.605,46,0.712,102,education,1.11,8,239,0
59.26,153,130,23,0.4558,0.694,24,1.085,90,electricity,0.91,24,177,1
53.98,1225,1101,124,0.049,0.38,149,0.698,418,housing,1.13,126,1351,1
43.7,588,193,395,0.2264,0.336,120,0.242,64,healthcare,0.86,0,588,0
58.94,450,326,124,0.1808,0.797,125,0.731,259,healthcare,0.94,51,501,1
26.12,493,102,391,0.256,0.488,79,0.222,49,education,0.77,23,516,1
8.45,153,21,132,0.4023,0.654,60,0.116,13,water,0.84,15,168,1
35.99,477,155,322,0.2322,0.538,21,0.413,83,healthcare,1.02,0,477,0
100.0,679,614,65,0.1629,0.683,164,1.08,419,housing,1.18,4,683,0
21.52,234,46,188,0.4678,0.534,44,0.211,24,electricity,0.97,6,240,0
18.52,474,113,361,0.1639,0.314,142,0.269,35,road,0.83,5,479,0
31.76,143,64,79,0.4962,0.527,75,0.336,33,water,0.61,18,161,1
45.01,347,199,148,0.2262,0.147,87,0.639,29,water,1.07,61,408,1
80.25,307,195,112,0.4115,0.291,38,0.531,56,road,1.08,0,307,0
87.89,170,122,48,0.7204,0.204,198,0.605,24,electricity,0.8,0,170,0
100.0,947,839,108,0.1192,0.27,198,0.943,226,healthcare,1.08,0,947,0
33.26,150,49,101,0.6788,0.769,119,0.277,37,electricity,1.05,0,150,0
42.82,512,261,251,0.164,0.96,114,0.589,250,education,0.74,4,516,0
29.91,693,409,284,0.0731,0.205,168,0.703,83,education,0.99,57,750,1
8.37,1043,109,934,0.0768,0.933,88,0.097,101,healthcare,0.9,6,1049,0
